NativeObjectName,InstanceName,NativeAttributeName,AttributeTypeCodeCV,ColumName,AttributeTypeCodeCV,ColUnitName,Value,ValueOrder
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,1,1
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,142,4
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,205,5
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,26,2
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,291,6
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,367,7
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,427,8
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,473,9
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,479,10
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,516,11
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,572,12
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,629,13
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,692,14
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,757,15
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,76,3
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,826,16
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,900,17
Reservoir,Hyrum (10),Volume Elevation Curve,M,Area,C,acre,976,18
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4590,1
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4600,2
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4610,3
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4620,4
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4630,5
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4640,6
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4650,7
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4660,8
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4670,9
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4672,10
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4680,11
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4690,12
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4700,13
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4710,14
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4720,15
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4730,16
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4740,17
Reservoir,Hyrum (10),Volume Elevation Curve,M,Elevation,C,international foot,4750,18
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,0,1
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,130,2
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,13206,8
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,1739,4
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,17721,9
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,18684,10
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,22600,11
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,28100,12
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,34100,13
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,3456,5
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,40700,14
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,47900,15
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,55800,16
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,5937,6
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,64500,17
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,649,3
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,73900,18
Reservoir,Hyrum (10),Volume Elevation Curve,M,Volume,C,acre foot,9236,7
